athlete_id,age,gender,height_cm,weight_kg,pushup_count,squat_count,deadlift_reps,running_50m_seconds,situp_count,plank_duration_seconds,vertical_jump_cm,talent_level,recommended_sport
ATH0034,15,Male,182,73.8,14,26,8,7.94,20,45,31,Intermediate,General Multi-Sport Development
ATH0035,18,Female,155,52.8,24,40,11,7.68,28,69,38,Intermediate,Athletics
ATH0036,21,Male,162,52.5,34,28,5,8.59,36,41,45,Intermediate,Football or Hockey
ATH0037,14,Female,169,62.1,18,42,8,8.33,18,65,36.6,Intermediate,Basketball or Volleyball
ATH0038,17,Other,176,71.7,28,30,11,8.07,26,89,43.6,Intermediate,Weightlifting or Wrestling
ATH0039,20,Female,183,71.4,12,44,5,7.81,34,61,35.2,Intermediate,General Multi-Sport Development
ATH0040,23,Male,156,50.4,22,32,8,8.72,42,85,42.2,Intermediate,Athletics
ATH0041,18,Male,164,55.4,28,42,11,7.04,34,89,44.8,Advanced,Basketball or Volleyball
ATH0042,21,Female,171,65,38,56,14,6.78,42,113,51.8,Advanced,Weightlifting or Wrestling
ATH0043,14,Male,178,74.6,48,44,17,7.69,50,85,43.4,Advanced,General Multi-Sport Development
ATH0044,17,Female,185,74.3,32,58,11,7.43,32,109,50.4,Advanced,Athletics
ATH0045,20,Male,158,53.3,42,46,14,7.17,40,81,42,Advanced,Football or Hockey
ATH0046,23,Female,165,,26,60,17,6.91,48,105,49,Advanced,Basketball or Volleyball
ATH0047,16,Other,172,62.6,36,48,11,7.82,30,129,56,Advanced,Weightlifting or Wrestling
ATH0048,19,Female,179,72.2,46,62,14,7.56,38,101,47.6,Advanced,General Multi-Sport Development
ATH0049,22,Male,186,81.8,30,50,17,7.3,46,125,54.6,Advanced,Athletics
ATH0050,15,Female,159,50.9,40,38,11,7.04,54,97,46.2,Advanced,Football or Hockey
ATH0051,18,Male,166,60.5,24,52,14,6.78,36,121,53.2,Advanced,Basketball or Volleyball
ATH0052,21,Female,173,70.1,34,40,17,7.69,44,93,44.8,Advanced,Weightlifting or Wrestling
ATH0053,14,Male,180,69.8,44,54,11,7.43,52,117,51.8,Advanced,General Multi-Sport Development
ATH0054,17,Female,187,79.4,28,42,14,7.17,34,89,43.4,Advanced,Athletics
ATH0055,20,Male,160,58.4,38,56,17,6.91,42,113,50.4,Advanced,Football or Hockey
ATH0056,23,Female,167,58.1,48,44,11,7.82,50,85,42,Advanced,Basketball or Volleyball
ATH0057,16,Other,174,67.7,32,58,14,7.56,32,109,49,Advanced,Weightlifting or Wrestling
ATH0058,19,Female,181,77.3,42,46,17,7.3,40,81,56,Advanced,General Multi-Sport Development
ATH0059,22,Male,154,46.4,26,60,11,7.04,48,105,47.6,Advanced,Athletics
ATH0060,15,Female,161,56,36,48,14,6.78,30,129,54.6,Advanced,Football or Hockey
ATH0061,20,Female,169,61,44,62,18,6.37,51,143,57.2,Elite,Weightlifting or Wrestling
ATH0062,23,Male,176,70.6,54,,21,6.11,59,167,64.2,Elite,General Multi-Sport Development
ATH0063,16,Female,183,70.3,38,64,15,7.02,67,139,55.8,Elite,Athletics
ATH0064,19,Male,156,49.3,48,78,18,6.76,49,163,62.8,Elite,Football or Hockey
ATH0065,22,Female,163,58.9,58,66,21,6.5,57,135,54.4,Elite,Basketball or Volleyball
ATH0066,15,Other,170,58.6,42,80,15,6.24,65,159,61.4,Elite,Weightlifting or Wrestling
ATH0067,18,Female,177,68.2,52,68,18,5.98,47,131,53,Elite,General Multi-Sport Development
ATH0068,21,Male,184,77.8,62,56,21,6.89,55,155,60,Elite,Athletics
ATH0069,14,Female,157,46.9,46,70,15,6.63,63,179,67,Elite,Football or Hockey
ATH0070,17,Male,164,56.5,56,58,18,6.37,45,151,58.6,Elite,Basketball or Volleyball
ATH0071,20,Female,171,66.1,40,72,21,6.11,53,175,65.6,Elite,Weightlifting or Wrestling
ATH0072,23,Male,178,65.8,50,60,15,7.02,61,147,57.2,Elite,General Multi-Sport Development
ATH0073,16,Female,185,75.4,60,74,18,6.76,69,171,,Elite,Athletics
ATH0074,19,Male,158,54.4,44,62,21,6.5,51,143,55.8,Elite,Football or Hockey
ATH0075,22,Female,165,54.1,54,76,15,6.24,59,167,62.8,Elite,Basketball or Volleyball
ATH0076,15,Other,172,63.7,38,64,18,5.98,67,139,54.4,Elite,Weightlifting or Wrestling
ATH0077,18,Female,179,73.3,48,78,21,6.89,49,163,61.4,Elite,General Multi-Sport Development
ATH0078,21,Male,186,73,58,66,15,6.63,57,135,53,Elite,Athletics
ATH0079,14,Female,159,52,42,80,18,6.37,65,159,60,Elite,Football or Hockey
ATH0080,17,Male,166,61.6,52,68,21,6.11,47,131,67,Elite,Basketball or Volleyball
ATH0001,14,Male,154,44.2,2,10,0,8.68,6,11,21,Beginner,Athletics
